Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	TL
100	-320259.3	-320164.1	-95.28991	1.60893	0.373251	0.370436	0.521487	0.683768	0.976796	0.682599	0.537452	0.193292	0.182975	0.495998	0.489358	0.237912	0.127255	0.609412	0.640206	0.787447	0.681511	0.00460227	0.315877	0.188083	0.245716	0.0887151	0.020611	0.756109	0.544898	0.500039	0.758207	0.617942	1.01002	0.628537	0.143852	0.0877489	0.0691938	0.0996713	0.0629681	0.0981896	0.0032525	0.00395393	0.831455	0.0737409	0.0833484	0.61534	0.589258	0.659853	1.35424	0.444118	0.70983	0.112649	0.0601603	0.0887934	0.594277	0.0369232	0.0300253	0.0503044	0.0572075	0.389774	0.121227	0.174604	0.120376	0.191077	0.700051	0.1491	0.092105	0.346822	0.131704	0.226162	0.100837	0.0795672	0.360208	0.151981	0.193578	0.114967	0.21153	0.169645	0.13451	0.100546	0.363221	0.051563	0.0871225	0.0976383	0.128121	0.353648	0.359983	0.185476	0.260092	0.306874	0.48915	0.102768	0.366445	30.25226
110	-320264.5	-320165.7	-98.7425	1.42774	0.370275	0.385116	0.556518	0.763133	0.976672	0.663716	0.51666	0.167365	0.168748	0.525874	0.504716	0.261182	0.13559	0.647983	0.691121	0.776693	0.729854	0.01461	0.323509	0.213261	0.2576	0.0801045	0.0240607	0.769575	0.567561	0.453117	0.779826	0.641	1.04684	0.677149	0.12296	0.0846058	0.0672971	0.107171	0.0701704	0.102918	0.00439568	0.00593225	0.804947	0.0678263	0.0931808	0.639277	0.571447	0.682183	1.38505	0.447107	0.697665	0.103809	0.0769321	0.114854	0.607512	0.0347599	0.0289115	0.0482029	0.0710476	0.344833	0.125522	0.169438	0.113172	0.223349	0.634583	0.142891	0.0494555	0.339958	0.116619	0.205999	0.101462	0.07801	0.34843	0.138808	0.139476	0.121536	0.175892	0.219284	0.0836009	0.0982296	0.365019	0.0779352	0.0658132	0.0913655	0.133314	0.394469	0.351828	0.216665	0.224667	0.274963	0.483406	0.101941	0.688249	30.59752
120	-320262.8	-320168	-94.79894	1.32568	0.362517	0.355851	0.535273	0.695743	0.963324	0.700796	0.538511	0.166027	0.181394	0.478101	0.495845	0.209857	0.1286	0.577237	0.702351	0.741176	0.715755	0.00089079	0.370761	0.213675	0.212493	0.0843668	0.0193007	0.746664	0.539916	0.460164	0.783711	0.667718	1.02635	0.651626	0.137795	0.0783097	0.0704864	0.112659	0.0730633	0.106663	0.00213188	0.00719504	0.823631	0.0738347	0.0760892	0.630652	0.599523	0.679308	1.39862	0.512861	0.683981	0.148739	0.0551099	0.0982992	0.605005	0.0467475	0.027048	0.0515171	0.0606492	0.3579	0.106339	0.171605	0.10167	0.215653	0.656048	0.161873	0.0321283	0.330536	0.150224	0.226712	0.108132	0.0787584	0.364299	0.106986	0.148878	0.0736393	0.177163	0.184724	0.126538	0.0903883	0.333775	0.0853828	0.0787842	0.0949653	0.121348	0.327706	0.416934	0.191085	0.264269	0.272665	0.481233	0.135838	0.617387	30.20316
130	-320273.8	-320178.5	-95.34811	1.31913	0.365218	0.384672	0.479301	0.681058	1.02522	0.714044	0.532889	0.166226	0.172666	0.454069	0.519372	0.263033	0.194682	0.580498	0.653309	0.819266	0.739874	0.0279445	0.308082	0.219893	0.209296	0.0944817	0.0268415	0.707545	0.569448	0.510591	0.800038	0.656008	1.07011	0.617728	0.129308	0.0903114	0.07021	0.103766	0.0629908	0.108857	0.00221071	0.00645782	0.798581	0.0785725	0.071837	0.638373	0.598238	0.65353	1.37856	0.414517	0.695295	0.13518	0.0733381	0.0932054	0.59641	0.039552	0.0288074	0.053905	0.0774105	0.370162	0.107587	0.155086	0.124565	0.219848	0.618335	0.168736	0.023736	0.317493	0.140075	0.224268	0.135732	0.0834459	0.368186	0.173681	0.128957	0.0730925	0.232119	0.169102	0.13487	0.0840663	0.331912	0.0964331	0.076459	0.117724	0.138755	0.337943	0.374004	0.197551	0.237542	0.26638	0.474371	0.14055	0.533363	30.25808
140	-320248.6	-320153.9	-94.68868	1.07492	0.379992	0.358781	0.488357	0.671225	0.968938	0.699891	0.534484	0.190503	0.182194	0.471586	0.490778	0.204213	0.155035	0.590797	0.688733	0.805984	0.758119	0.0249973	0.291827	0.21274	0.240341	0.0603547	0.0217069	0.735994	0.564243	0.535091	0.776627	0.635219	1.02475	0.650358	0.12958	0.0893802	0.0640662	0.110834	0.0730212	0.106766	0.00321085	0.00715232	0.817752	0.0782141	0.0863612	0.615315	0.596879	0.678234	1.38074	0.451636	0.676953	0.13168	0.0556335	0.0977489	0.602145	0.0319845	0.0324396	0.0553217	0.0668964	0.387344	0.123048	0.161353	0.11209	0.235611	0.642224	0.14107	0.061325	0.335849	0.13616	0.22536	0.104459	0.0863882	0.371535	0.162621	0.175107	0.1043	0.192501	0.221801	0.115771	0.122551	0.365094	0.0657505	0.0737757	0.0843518	0.144998	0.338388	0.353847	0.199199	0.235508	0.309708	0.498713	0.12055	0.655065	30.19213
150	-320271.5	-320174.2	-97.25846	1.28186	0.394152	0.408389	0.512107	0.708161	0.979961	0.696579	0.559303	0.176901	0.187643	0.474076	0.524663	0.232319	0.176226	0.6085	0.677468	0.791463	0.751497	0.0290528	0.285654	0.253557	0.256275	0.0691102	0.0267215	0.739507	0.60345	0.472837	0.79747	0.639478	1.00355	0.652102	0.138887	0.086257	0.0715527	0.11095	0.0746904	0.106164	0.0013078	0.00752299	0.810495	0.079444	0.0757833	0.631431	0.578716	0.741156	1.38017	0.49621	0.675916	0.118718	0.0725938	0.0911053	0.602432	0.0369889	0.0322768	0.0499013	0.0653664	0.336817	0.142269	0.159812	0.131011	0.224379	0.641889	0.141944	0.110864	0.342791	0.170911	0.201578	0.118509	0.0579269	0.363599	0.095102	0.169362	0.0536805	0.233206	0.193625	0.0871027	0.102831	0.34914	0.0793083	0.0852822	0.0837866	0.15148	0.370819	0.34663	0.206616	0.271206	0.317601	0.492678	0.0557229	0.45356	30.44911
160	-320266	-320171	-94.97315	1.50525	0.363419	0.408008	0.528635	0.70848	0.932564	0.679514	0.512995	0.180744	0.177564	0.480373	0.500375	0.198393	0.195857	0.591331	0.679615	0.755485	0.762851	0.00448207	0.272828	0.240883	0.244716	0.07511	0.0126963	0.747287	0.570148	0.485665	0.752115	0.640104	1.05859	0.711238	0.129547	0.0839804	0.0709047	0.0961507	0.0635862	0.0987828	0.00222136	0.00818465	0.841439	0.077198	0.0901885	0.618592	0.578219	0.677029	1.42217	0.470236	0.682301	0.122023	0.0509026	0.098871	0.628444	0.0408798	0.0258921	0.0499811	0.0607658	0.339303	0.133831	0.156061	0.118979	0.240021	0.637536	0.108344	0.0632969	0.337762	0.103972	0.210299	0.11313	0.0514207	0.384852	0.158655	0.143404	0.0711705	0.185799	0.160119	0.155483	0.0967422	0.336949	0.094081	0.103717	0.0821223	0.124277	0.383316	0.37043	0.211673	0.287049	0.269873	0.488518	0.0979683	0.334613	30.22058
170	-320257.5	-320162.3	-95.18094	1.43382	0.368407	0.366736	0.567952	0.705959	0.960704	0.662018	0.51613	0.186373	0.160689	0.51018	0.48766	0.225912	0.155128	0.607261	0.6677	0.78526	0.788518	0.0280942	0.263826	0.23922	0.241701	0.0658955	0.0203117	0.731347	0.577127	0.5125	0.781251	0.667845	1.04465	0.635997	0.14226	0.0730579	0.0725125	0.103974	0.0725483	0.098895	0.00344569	0.00643071	0.820816	0.0624313	0.0865466	0.63845	0.633916	0.68614	1.47493	0.430944	0.687605	0.11071	0.0624328	0.0877631	0.620138	0.0391197	0.0358812	0.0571163	0.0568609	0.352952	0.116239	0.183483	0.111441	0.22723	0.600692	0.16489	0.0191299	0.331195	0.127011	0.222035	0.0963892	0.0642502	0.345903	0.113358	0.128813	0.113488	0.185238	0.196523	0.121925	0.09949	0.347295	0.0592787	0.102585	0.0828861	0.146214	0.336375	0.37063	0.195205	0.217648	0.25012	0.550384	0.101319	0.42865	30.24136
180	-320262	-320167.5	-94.4293	1.33055	0.36812	0.355907	0.478515	0.684876	0.952602	0.68107	0.507173	0.193154	0.1642	0.469378	0.514765	0.236844	0.144272	0.627455	0.632836	0.763518	0.779758	8.72995e-05	0.327923	0.212239	0.221458	0.0932328	0.0291366	0.741503	0.576841	0.489152	0.743868	0.647757	1.02646	0.645294	0.135345	0.0758243	0.0707426	0.115043	0.0696153	0.106707	0.00381238	0.00646941	0.776825	0.0773762	0.0775837	0.607785	0.600075	0.696199	1.34844	0.458754	0.684062	0.143039	0.0606222	0.0719566	0.628761	0.0357938	0.0292418	0.0535116	0.0535899	0.386707	0.121543	0.198228	0.111156	0.224287	0.651219	0.169552	0.0627446	0.326241	0.182428	0.212602	0.0969279	0.0847213	0.327689	0.127985	0.12433	0.0590014	0.226164	0.212252	0.118569	0.0978361	0.343353	0.0843125	0.0529201	0.130865	0.165774	0.312925	0.396904	0.203926	0.24814	0.271987	0.487414	0.0745483	0.643826	30.1662
190	-320264.6	-320172.5	-92.16021	1.43363	0.365185	0.347412	0.498548	0.684999	0.965685	0.724041	0.497844	0.187791	0.173054	0.466942	0.495876	0.199667	0.139329	0.599879	0.645206	0.757346	0.771787	0.0513765	0.288318	0.232034	0.224739	0.0883776	0.0160342	0.719839	0.577002	0.457102	0.762494	0.641289	1.00652	0.642366	0.135507	0.0844219	0.0734293	0.096039	0.067774	0.105814	0.00740867	0.00534844	0.826143	0.0814871	0.0837951	0.649383	0.58661	0.641504	1.43755	0.443438	0.669116	0.123076	0.0615366	0.0963636	0.56844	0.0439637	0.0300713	0.0499566	0.0680377	0.352806	0.131806	0.186428	0.14317	0.198127	0.640603	0.132287	0.0298737	0.338092	0.15438	0.219275	0.117575	0.0662251	0.328649	0.193656	0.11296	0.0980759	0.211417	0.164435	0.141131	0.108886	0.357916	0.0570586	0.0926546	0.0938923	0.169681	0.310273	0.361628	0.211622	0.290036	0.219007	0.510024	0.145339	0.352372	29.93929
