Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	TL
0	-320270.5	-320178.2	-92.33998	0.60863	0.35893	0.3409	0.522843	0.64491	0.929613	0.709157	0.513427	0.159979	0.203648	0.483717	0.458644	0.216998	0.160278	0.609412	0.661588	0.734691	0.740383	0.00183052	0.315093	0.216925	0.236767	0.0662527	0.0186721	0.704869	0.613294	0.499776	0.771316	0.604012	1.01194	0.672628	0.141695	0.0818406	0.0713673	0.11252	0.0693444	0.105329	0.00393081	0.0039422	0.789844	0.0753918	0.0924228	0.645849	0.593189	0.673025	1.42026	0.439424	0.683834	0.109157	0.0602872	0.104559	0.617956	0.0476481	0.0313296	0.0536372	0.0668101	0.370589	0.0786824	0.150241	0.124781	0.222153	0.662242	0.185562	0.0389513	0.325659	0.12938	0.231621	0.0759837	0.0596069	0.0226265	0.478447	0.163388	0.0814845	0.173273	0.224391	0.114427	0.125548	0.318947	0.0765899	0.0826152	0.106053	0.155916	0.346607	0.422296	0.188791	0.278833	0.239592	0.461469	0.0945379	1.26026	29.95726
10	-320256.3	-320163	-93.27672	0.84806	0.392845	0.351547	0.492157	0.659031	0.936952	0.664041	0.529862	0.206961	0.150479	0.478937	0.488254	0.243505	0.154356	0.624029	0.713705	0.752569	0.76489	0.019357	0.315664	0.208768	0.229663	0.0684109	0.0240408	0.793654	0.55446	0.463984	0.771003	0.660361	1.0398	0.647666	0.144121	0.080444	0.0688364	0.109114	0.0661663	0.118797	0.00487167	0.0051175	0.816899	0.0875056	0.0757808	0.623502	0.594748	0.679211	1.44853	0.45408	0.713889	0.120271	0.0702661	0.0980715	0.612192	0.040462	0.0257989	0.0461871	0.0555641	0.37702	0.0983903	0.168191	0.113034	0.229831	0.601042	0.140534	0.0831173	0.316759	0.123284	0.223021	0.108317	0.0641982	0.0658447	0.452445	0.114743	0.128716	0.159821	0.208305	0.11342	0.0970343	0.365964	0.0661861	0.0678982	0.110361	0.130851	0.372539	0.314721	0.198054	0.240603	0.289039	0.476438	0.0934825	0.928301	30.05094
20	-320261.9	-320166.1	-95.87074	0.761468	0.415575	0.37569	0.471025	0.694974	0.919857	0.637247	0.520842	0.195721	0.168663	0.454511	0.517971	0.223761	0.159805	0.616508	0.703621	0.798281	0.721537	0.0242723	0.283592	0.227473	0.248456	0.0737774	0.0240339	0.729449	0.573697	0.483403	0.738741	0.666227	1.06387	0.672164	0.133505	0.0802691	0.0661209	0.105632	0.0760548	0.105998	0.00304582	0.00453193	0.80106	0.0781255	0.0916575	0.629666	0.576886	0.651236	1.47353	0.462098	0.714026	0.123254	0.0496289	0.0991748	0.636226	0.0343688	0.0300578	0.0433569	0.0663242	0.364313	0.107254	0.18751	0.113801	0.251994	0.643702	0.183422	0.0295268	0.331256	0.131071	0.197512	0.118324	0.0645758	0.0474584	0.482805	0.1507	0.119821	0.144661	0.189336	0.114882	0.0944966	0.355136	0.0678469	0.0976416	0.0890806	0.133662	0.360723	0.42496	0.223538	0.25301	0.247008	0.454086	0.077119	1.15606	30.31034
30	-320263.4	-320166.5	-96.86004	0.816448	0.399907	0.351447	0.512382	0.711343	0.939749	0.659566	0.528921	0.185674	0.169463	0.469077	0.485433	0.167553	0.138919	0.6297	0.673348	0.804236	0.728455	0.024548	0.276034	0.23938	0.238664	0.0627873	0.0312406	0.760248	0.595005	0.534363	0.733838	0.634359	1.05682	0.669795	0.134365	0.0868045	0.0768049	0.104219	0.0705721	0.103795	0.00248074	0.00657852	0.828777	0.0616365	0.0754067	0.615601	0.573442	0.677996	1.49496	0.446506	0.70799	0.121999	0.0536442	0.0928627	0.602967	0.046222	0.0310983	0.0401614	0.0593721	0.363237	0.118303	0.168105	0.117313	0.231258	0.637009	0.154378	0.0165282	0.309373	0.154835	0.209718	0.137561	0.041064	0.0759746	0.403046	0.14425	0.0743753	0.205413	0.253532	0.0852638	0.107167	0.346154	0.0636369	0.0791975	0.104509	0.157584	0.347086	0.387862	0.22261	0.230108	0.277422	0.451681	0.165602	1.22315	30.40927
40	-320251.7	-320158.9	-92.81411	0.5853	0.366442	0.366293	0.528157	0.66165	0.957041	0.683287	0.535341	0.187564	0.164044	0.48467	0.507771	0.214998	0.128118	0.643082	0.674382	0.69478	0.76034	0.000927185	0.299978	0.235295	0.24495	0.0716093	0.0240988	0.742867	0.525311	0.517887	0.77914	0.633321	0.999831	0.662856	0.143065	0.0856988	0.0734142	0.103209	0.0658229	0.10467	0.000847328	0.00945067	0.802324	0.0640288	0.0893595	0.625514	0.555932	0.681774	1.42854	0.455737	0.696866	0.123452	0.0659725	0.0879537	0.621212	0.0359608	0.0283986	0.0482864	0.0597424	0.361641	0.12143	0.153748	0.109833	0.224256	0.688689	0.1067	0.0240165	0.318808	0.137086	0.223698	0.120033	0.0559844	0.0106711	0.486267	0.170327	0.0581763	0.211206	0.189857	0.095562	0.104174	0.360583	0.0769059	0.104243	0.0984709	0.113688	0.379027	0.403211	0.167338	0.239277	0.25809	0.526751	0.164692	1.20168	30.00468
50	-320248.7	-320153.3	-95.43833	0.612886	0.376023	0.37035	0.53192	0.710235	1.01796	0.656562	0.507962	0.176463	0.185521	0.475994	0.51008	0.31489	0.162153	0.613262	0.668415	0.786429	0.738842	0.00235847	0.341137	0.21565	0.23599	0.077301	0.0166189	0.73866	0.54962	0.496006	0.793103	0.658634	1.04284	0.658207	0.131784	0.0814154	0.0697543	0.103731	0.0731681	0.102056	0.000824812	0.00709268	0.802855	0.0610837	0.0915461	0.608102	0.598923	0.684099	1.38187	0.451283	0.690206	0.129905	0.0745928	0.103298	0.625029	0.0367029	0.0265039	0.0509173	0.06326	0.374104	0.119311	0.163518	0.112393	0.233914	0.682528	0.125207	0.0187201	0.338854	0.149182	0.216802	0.0983256	0.0704093	0.0593242	0.417504	0.165247	0.0725626	0.197766	0.186499	0.108405	0.115744	0.337373	0.0545506	0.0840588	0.0752815	0.152412	0.361108	0.409186	0.187536	0.239317	0.218942	0.453479	0.145701	1.22975	30.2671
60	-320256.3	-320163.2	-93.14017	0.474924	0.325482	0.346087	0.497756	0.677755	1.01944	0.726041	0.501644	0.185232	0.167866	0.50519	0.479304	0.24336	0.178931	0.619244	0.658766	0.713899	0.756078	0.00426287	0.297066	0.201853	0.254348	0.093302	0.017355	0.765192	0.545467	0.530143	0.745916	0.602805	0.985443	0.654039	0.132055	0.0852478	0.0707271	0.103022	0.0681647	0.109954	0.00232728	0.00632362	0.77109	0.0634873	0.0830955	0.625289	0.592989	0.674132	1.42879	0.480548	0.684552	0.112917	0.0527356	0.108086	0.613128	0.0388662	0.0276577	0.0544613	0.0592219	0.353127	0.112896	0.163845	0.130936	0.234365	0.651419	0.13607	0.0718286	0.327183	0.122142	0.20131	0.120856	0.0655985	0.0815263	0.393126	0.180539	0.0942213	0.193517	0.202407	0.113343	0.0980692	0.379789	0.0746709	0.0888405	0.0838417	0.12889	0.351559	0.398626	0.198516	0.23193	0.240887	0.511005	0.0585336	1.41881	30.03728
70	-320263.6	-320168.5	-95.19282	0.177075	0.385635	0.326579	0.517637	0.697121	0.944079	0.646959	0.521925	0.204679	0.184367	0.481768	0.508611	0.313797	0.167593	0.59029	0.693419	0.773155	0.778225	0.00486313	0.319821	0.206246	0.252869	0.0868119	0.0216669	0.731367	0.576022	0.515788	0.781346	0.667325	1.01656	0.659152	0.132588	0.0892444	0.0637817	0.104793	0.0778401	0.0985898	0.00102913	0.0108465	0.799187	0.0599465	0.0872779	0.602255	0.578472	0.697889	1.3715	0.445489	0.729929	0.120688	0.0760371	0.0878495	0.604966	0.030406	0.0312769	0.0539385	0.0489406	0.377781	0.109268	0.168445	0.127604	0.22787	0.637692	0.155738	0.0935291	0.338698	0.147463	0.22139	0.122907	0.072212	0.0818764	0.388012	0.137949	0.105069	0.182939	0.157544	0.133169	0.10515	0.351909	0.0622511	0.0780875	0.122711	0.154567	0.325957	0.374357	0.20243	0.25757	0.244323	0.462969	0.0856306	1.66997	30.24255
80	-320265.3	-320172.2	-93.04937	0.194601	0.349073	0.357815	0.497907	0.627769	0.924011	0.683525	0.556485	0.188704	0.172538	0.487352	0.498934	0.271223	0.120043	0.640707	0.673828	0.714805	0.694015	0.00337675	0.313839	0.233823	0.237579	0.0902798	0.0137416	0.741175	0.56258	0.52616	0.762033	0.671085	1.02491	0.682153	0.137608	0.0805591	0.0666427	0.108637	0.0711742	0.113932	0.00197886	0.00491252	0.780925	0.0726013	0.0753754	0.623007	0.59265	0.664613	1.41076	0.409142	0.695829	0.127632	0.072576	0.0937784	0.595839	0.0397977	0.0247835	0.0480764	0.0607401	0.350934	0.120176	0.178699	0.118444	0.245322	0.672507	0.108109	0.0791504	0.319318	0.114718	0.209509	0.130411	0.0533344	0.0717035	0.441555	0.153986	0.124136	0.172296	0.22052	0.073754	0.101527	0.364801	0.049869	0.113398	0.130841	0.122787	0.403804	0.364401	0.188961	0.287314	0.260458	0.522365	0.0977925	1.57166	30.0282
90	-320261.9	-320168.5	-93.47513	0.051853	0.386401	0.362974	0.537182	0.68023	1.04569	0.685656	0.48743	0.181607	0.176517	0.476369	0.47703	0.223137	0.170709	0.650805	0.724369	0.795577	0.707226	0.0155515	0.301518	0.251571	0.242416	0.0842367	0.0241382	0.76472	0.533945	0.502912	0.74044	0.640389	1.01919	0.661564	0.141555	0.0824153	0.0720745	0.111068	0.0709241	0.111179	0.00298971	0.00637582	0.780529	0.0825587	0.0872948	0.641595	0.59329	0.669602	1.33276	0.447651	0.654526	0.132795	0.055592	0.125703	0.614737	0.0392796	0.0295793	0.0484384	0.0690503	0.337315	0.147315	0.152683	0.130386	0.201557	0.577071	0.173897	0.048571	0.309635	0.122306	0.203974	0.114735	0.0655211	0.0330522	0.457271	0.160893	0.0853234	0.2137	0.156592	0.104355	0.0943687	0.363775	0.0574266	0.0894297	0.123272	0.154566	0.356688	0.34277	0.180101	0.266194	0.217611	0.53136	0.108731	1.78142	30.07078
100	-320257.3	-320161.4	-95.86197	0.000945151	0.371254	0.375205	0.508534	0.685346	0.98588	0.664498	0.509042	0.186988	0.170053	0.48919	0.482366	0.344096	0.136297	0.628455	0.682022	0.747888	0.772895	0.00174367	0.311858	0.196024	0.226137	0.109087	0.0130052	0.771666	0.556856	0.471026	0.745069	0.681421	1.028	0.651643	0.142536	0.082196	0.0712671	0.106896	0.0640014	0.10284	0.00264559	0.00473975	0.827961	0.0816131	0.0828542	0.629334	0.584716	0.664206	1.35543	0.464837	0.699081	0.143645	0.0399316	0.0920886	0.631408	0.0392151	0.0268303	0.0478228	0.0558599	0.37493	0.0994622	0.1785	0.132223	0.181636	0.671932	0.178203	0.0774087	0.3315	0.134161	0.219426	0.108073	0.0874856	0.0772204	0.379099	0.1821	0.0580006	0.198343	0.193008	0.0961688	0.119911	0.368975	0.0640346	0.0752164	0.0727126	0.15958	0.343565	0.386764	0.181643	0.257999	0.271959	0.519887	0.0814518	1.89844	30.30946
110	-320256.4	-320161.2	-95.18095	0.216642	0.393667	0.373039	0.529535	0.707078	1.00478	0.674994	0.544028	0.170715	0.170653	0.499392	0.513998	0.197946	0.148303	0.593859	0.684827	0.759295	0.755986	0.0227469	0.295212	0.248502	0.250004	0.0846063	0.0217171	0.748696	0.592705	0.415146	0.774352	0.644541	1.0402	0.66462	0.136328	0.0790644	0.067293	0.105018	0.0769558	0.0907475	0.0033418	0.00463571	0.831118	0.0802228	0.0889395	0.638611	0.566186	0.68936	1.3342	0.448373	0.706377	0.111191	0.074646	0.0937478	0.591874	0.0436564	0.0316231	0.0490929	0.062141	0.361697	0.119223	0.178712	0.113398	0.231239	0.644967	0.154885	0.0631519	0.369357	0.134797	0.206053	0.110992	0.0365395	0.0384649	0.429773	0.129818	0.0786236	0.210245	0.212135	0.128217	0.0975691	0.357067	0.0691808	0.0713626	0.101439	0.157657	0.345107	0.375731	0.180344	0.227509	0.23951	0.554702	0.0874494	1.67792	30.24136
120	-320259.3	-320166	-93.2845	0.180954	0.394276	0.385252	0.514334	0.723751	0.993192	0.67079	0.517906	0.173372	0.176741	0.473499	0.525535	0.23054	0.124487	0.58285	0.705275	0.743598	0.743377	0.00078232	0.258451	0.231592	0.237765	0.0886213	0.022324	0.729336	0.53306	0.491532	0.777363	0.646064	1.00525	0.649275	0.13515	0.0816006	0.0741389	0.115885	0.0622512	0.106026	0.00351356	0.00808944	0.83344	0.0706296	0.0900977	0.640325	0.592866	0.668671	1.4253	0.521578	0.669735	0.145152	0.0465463	0.076256	0.612308	0.0422572	0.0206375	0.0497113	0.058431	0.374797	0.11696	0.190667	0.104778	0.221071	0.654724	0.128993	0.0907422	0.340152	0.142983	0.218847	0.116814	0.0587233	0.0675732	0.402809	0.15844	0.0926141	0.194957	0.193657	0.110592	0.0924144	0.332686	0.0780991	0.0883555	0.104662	0.129975	0.351062	0.376527	0.16811	0.241093	0.244654	0.456706	0.0960496	1.62869	30.05172
