Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	TL
0	-320277.8	-320180.2	-97.53368	0.33028	0.364316	0.341656	0.525314	0.665027	0.970912	0.688224	0.49342	0.172712	0.184401	0.499227	0.49352	0.251997	0.153521	0.573388	0.649218	0.809397	0.732155	0.0189152	0.34821	0.248296	0.233334	0.064445	0.0389372	0.809153	0.571249	0.469223	0.736101	0.66895	1.01242	0.696432	0.145814	0.0881496	0.0699325	0.115594	0.0573001	0.108633	0.00352536	0.00367296	0.793853	0.0626174	0.103064	0.675423	0.620311	0.653897	1.50686	0.445697	0.698447	0.106889	0.0547503	0.111705	0.617188	0.0413255	0.0249568	0.0551164	0.0546639	0.359237	0.111793	0.136854	0.139567	0.201638	0.688739	0.145359	0.0833486	0.316445	0.111356	0.228716	0.0978412	0.0554183	0.0216054	0.471633	0.146509	0.112438	0.182218	0.166874	0.128511	0.111374	0.336724	0.0709352	0.0921852	0.135996	0.145898	0.347469	0.402555	0.186033	0.306552	0.256744	0.456995	0.103392	1.58394	30.47663
10	-320256.5	-320163.5	-92.97277	0.32014	0.35927	0.356849	0.495777	0.672419	0.949349	0.67054	0.473174	0.176145	0.177866	0.492406	0.460606	0.195708	0.151121	0.577195	0.68502	0.792774	0.766839	0.00470321	0.347406	0.194763	0.234724	0.0772062	0.0260151	0.771041	0.553996	0.487618	0.750989	0.635861	1.01027	0.675573	0.144808	0.0782786	0.0607834	0.108277	0.0617185	0.110041	0.00263577	0.00590226	0.802005	0.0796542	0.082255	0.619498	0.57643	0.709251	1.4307	0.426539	0.684816	0.121373	0.0821245	0.0829446	0.619924	0.0301804	0.0307554	0.0479892	0.0571914	0.386753	0.103818	0.164245	0.132828	0.209321	0.59824	0.161903	0.0594077	0.326332	0.119174	0.209129	0.0993935	0.0912434	0.0859231	0.438723	0.142048	0.11244	0.200697	0.197251	0.149811	0.114288	0.34088	0.0719634	0.102291	0.0782343	0.1428	0.337391	0.440478	0.19311	0.251287	0.276652	0.478943	0.094737	1.50937	30.02054
20	-320264.1	-320167.9	-96.13187	0.109041	0.385137	0.339265	0.52329	0.652787	1.0287	0.72122	0.486916	0.197232	0.154183	0.45788	0.510012	0.211232	0.171827	0.614312	0.674688	0.837	0.740986	0.0337729	0.308253	0.21377	0.243335	0.076322	0.022628	0.734324	0.556414	0.519664	0.697659	0.689246	1.01411	0.669633	0.120859	0.0859819	0.0693417	0.110266	0.071539	0.110739	0.00253707	0.00657612	0.796996	0.0742229	0.089995	0.644392	0.557584	0.680929	1.35972	0.454802	0.719796	0.130724	0.0740373	0.0865654	0.632946	0.0411701	0.0306842	0.0469328	0.0698879	0.336761	0.12459	0.187394	0.124268	0.20814	0.719419	0.153769	0.0501428	0.343601	0.139336	0.217503	0.0954502	0.0907457	0.059013	0.419993	0.153352	0.0892402	0.200476	0.208254	0.117094	0.107887	0.339909	0.0724949	0.0746792	0.0964726	0.149957	0.326471	0.447429	0.191414	0.302549	0.253898	0.521895	0.0866016	1.66219	30.33645
30	-320270.5	-320174.8	-95.7074	0.346911	0.353938	0.3633	0.522111	0.655461	0.991871	0.671281	0.524588	0.19392	0.17422	0.482204	0.497308	0.165982	0.202693	0.628079	0.681774	0.782422	0.755217	0.0638888	0.301701	0.242373	0.237206	0.088256	0.0233708	0.766144	0.567747	0.532427	0.760315	0.64462	1.06286	0.671062	0.135742	0.0917787	0.0664297	0.103471	0.0823458	0.111329	0.00215833	0.00738263	0.823053	0.0577013	0.0993943	0.603947	0.578802	0.674772	1.50174	0.445893	0.717909	0.109422	0.0539752	0.0928414	0.630627	0.0425484	0.0245711	0.0424853	0.0666473	0.364506	0.094465	0.15546	0.14432	0.228328	0.651285	0.152106	0.0987349	0.295663	0.147779	0.194205	0.112324	0.07565	0.229406	0.24032	0.160701	0.0783702	0.19352	0.199324	0.0852185	0.0974798	0.342954	0.0643877	0.0919307	0.132313	0.172928	0.34097	0.384727	0.202967	0.291469	0.216367	0.463887	0.0359476	1.43178	30.29401
40	-320252.7	-320158.2	-94.52487	0.00102869	0.368154	0.391102	0.500545	0.67057	0.93501	0.703385	0.50509	0.195893	0.168261	0.526873	0.500721	0.233805	0.113729	0.627992	0.670923	0.783008	0.752741	0.00452977	0.32045	0.209736	0.245529	0.0713903	0.0232972	0.74689	0.533318	0.470166	0.797582	0.638717	1.03875	0.674535	0.13763	0.0879246	0.073325	0.097431	0.0746012	0.105226	0.00272428	0.00839026	0.79051	0.0714147	0.0947191	0.632451	0.569771	0.673952	1.40345	0.466368	0.69834	0.129923	0.0633986	0.102055	0.618915	0.0351093	0.0334201	0.0475418	0.0648109	0.358427	0.0955699	0.188026	0.126247	0.18052	0.625492	0.168798	0.0705077	0.294314	0.148936	0.225604	0.109259	0.0543438	0.28296	0.218848	0.146618	0.10525	0.194664	0.236938	0.113156	0.097827	0.342765	0.0551231	0.0771965	0.114638	0.163783	0.339231	0.39058	0.218469	0.255597	0.247607	0.530884	0.0794104	1.81104	30.17575
50	-320259.4	-320164.2	-95.2257	0.112195	0.374715	0.360442	0.500489	0.698656	0.978446	0.656753	0.520429	0.17287	0.176866	0.47308	0.490832	0.24157	0.131372	0.595999	0.677294	0.741559	0.76352	0.0970126	0.312804	0.196162	0.234863	0.0673134	0.0284696	0.779251	0.566247	0.485631	0.817484	0.60592	1.0298	0.675482	0.136696	0.0878886	0.065641	0.0998534	0.0705846	0.113088	0.00137715	0.00694029	0.801881	0.0618458	0.0840318	0.602943	0.607979	0.678755	1.31338	0.441453	0.701846	0.136024	0.0583236	0.0824535	0.612212	0.0324881	0.0282945	0.0523383	0.0639103	0.369018	0.106552	0.158967	0.14436	0.209708	0.694219	0.129108	0.026462	0.315611	0.146578	0.208489	0.120066	0.0896316	0.304659	0.169229	0.121146	0.0913385	0.190617	0.217801	0.100975	0.113815	0.374146	0.0838789	0.0829399	0.155769	0.128192	0.363892	0.413216	0.208447	0.253858	0.256092	0.499545	0.107409	1.78434	30.24584
60	-320265.9	-320173.5	-92.34329	0.560822	0.391198	0.377292	0.517294	0.674041	0.923509	0.692715	0.450389	0.205634	0.174307	0.485576	0.493444	0.17465	0.172538	0.62996	0.67849	0.75633	0.768813	0.0113238	0.351989	0.202176	0.260092	0.0582412	0.0255299	0.717631	0.544525	0.513796	0.775166	0.605152	1.03998	0.658226	0.133506	0.0875534	0.0695951	0.107228	0.0660306	0.100139	0.00218528	0.0056804	0.758373	0.0580446	0.0821065	0.641331	0.599331	0.681249	1.37197	0.458813	0.70919	0.122853	0.0640261	0.0902413	0.614888	0.0415674	0.0365146	0.0523904	0.0619334	0.35399	0.119178	0.18777	0.126884	0.213781	0.609835	0.138679	0.0566798	0.345037	0.127515	0.200287	0.100087	0.071118	0.301565	0.169819	0.175305	0.0785056	0.201068	0.182423	0.0874013	0.0915435	0.325606	0.0833641	0.0960563	0.131089	0.159294	0.378411	0.317826	0.181484	0.250622	0.28975	0.504087	0.0966957	1.29727	29.9576
70	-320259.4	-320163.9	-95.50596	0.35979	0.36655	0.398249	0.495331	0.623347	0.98137	0.700509	0.543786	0.179684	0.172521	0.510722	0.504191	0.197725	0.155475	0.652693	0.696781	0.794636	0.73071	0.0307027	0.283414	0.209879	0.248563	0.0607896	0.0251422	0.745698	0.541097	0.497315	0.763473	0.688253	1.00769	0.639569	0.142297	0.09086	0.0678557	0.105772	0.0771915	0.11045	0.00248819	0.00688775	0.804499	0.0590116	0.0887644	0.605747	0.603741	0.668234	1.3131	0.45469	0.702416	0.101384	0.0683984	0.110938	0.593292	0.0376867	0.0307227	0.0519447	0.0604854	0.37662	0.125019	0.148494	0.140242	0.233892	0.632162	0.191486	0.0563875	0.331909	0.144934	0.222749	0.11677	0.0831115	0.322375	0.190605	0.16335	0.107214	0.173742	0.1703	0.162258	0.0823556	0.338812	0.0616089	0.0728032	0.108569	0.135842	0.37096	0.379184	0.220413	0.283866	0.252144	0.480343	0.0847505	1.54408	30.27386
80	-320272.2	-320178.4	-93.7308	0.386252	0.371579	0.371192	0.50791	0.6689	0.936197	0.673038	0.571658	0.18605	0.175227	0.455789	0.502084	0.238413	0.147643	0.62871	0.688167	0.772562	0.704359	0.00311387	0.295569	0.255278	0.261632	0.0646916	0.0205731	0.770138	0.606714	0.482541	0.737046	0.650518	1.02353	0.639135	0.134707	0.0851239	0.071253	0.109508	0.0609451	0.124147	0.000474021	0.00746372	0.804944	0.0713948	0.0856113	0.635121	0.565806	0.66662	1.37697	0.421142	0.703119	0.109041	0.0724791	0.0907774	0.598968	0.0417078	0.02077	0.0509375	0.0641976	0.355865	0.133321	0.176477	0.136023	0.223217	0.652544	0.123887	0.0527403	0.317979	0.101662	0.213503	0.110326	0.0632771	0.26076	0.184588	0.171038	0.109552	0.143324	0.214652	0.102864	0.121719	0.344488	0.0687728	0.0725551	0.104935	0.123349	0.419679	0.322883	0.190975	0.307514	0.275208	0.507031	0.135475	1.48472	30.09635
90	-320262	-320166.7	-95.28641	0.14835	0.38905	0.389025	0.508363	0.68939	1.02156	0.740704	0.490393	0.178925	0.176916	0.481425	0.491602	0.209522	0.176861	0.630606	0.629954	0.784596	0.800421	0.0038628	0.277166	0.192578	0.244851	0.0736999	0.0237914	0.766692	0.538149	0.504144	0.797698	0.624747	1.03694	0.637067	0.140635	0.0827573	0.0737606	0.109266	0.0669078	0.107767	0.00132592	0.00630027	0.832726	0.0754704	0.0767604	0.598875	0.57084	0.681729	1.32558	0.461175	0.698512	0.133962	0.0466124	0.0967696	0.605264	0.0355872	0.0333487	0.0539742	0.0517439	0.353867	0.124769	0.159114	0.141089	0.202009	0.617853	0.183759	0.0507199	0.322888	0.12827	0.193715	0.114746	0.0961937	0.349931	0.109853	0.181988	0.0501913	0.221407	0.189354	0.121085	0.109544	0.357055	0.074189	0.0631776	0.114623	0.160681	0.394344	0.362497	0.172712	0.215235	0.25287	0.59204	0.0985351	1.74489	30.25191
